Arrays for Test: 50CollisionOut
Chained Overflow Main Array:
Index    Key Value     Count
0         0            0            -1
1         0            0            -1
2         0            0            -1
3         0            0            -1
4         0            0            -1
5         0            0            -1
6         0            0            -1
7         0            0            -1
8         0            0            -1
9         0            0            -1
10         0            0            -1
11         111            1            -1
12         212            1            -1
13         313            1            -1
14         514            1            -1
15         115            1            -1
16         0            0            -1
17         117            1            -1
18         118            1            -1
19         0            0            -1
20         0            0            -1
21         221            1            -1
22         22            1            0
23         23            1            1
24         24            1            2
25         25            1            3
26         26            1            4
27         27            1            5
28         28            1            6
29         29            1            7
30         0            0            -1
31         31            1            8
32         32            1            9
33         33            1            10
34         34            1            11
35         35            1            12
36         36            1            13
37         37            1            14
38         0            0            -1
39         0            0            -1
40         0            0            -1
41         0            0            -1
42         0            0            -1
43         0            0            -1
44         344            1            -1
45         345            1            -1
46         346            1            -1
47         347            1            -1
48         448            1            -1
49         0            0            -1
50         0            0            -1
51         0            0            -1
52         0            0            -1
53         0            0            -1
54         0            0            -1
55         0            0            -1
56         0            0            -1
57         0            0            -1
58         0            0            -1
59         0            0            -1
60         0            0            -1
61         0            0            -1
62         162            1            -1
63         663            1            -1
64         664            1            -1
65         665            1            -1
66         0            0            -1
67         0            0            -1
68         0            0            -1
69         0            0            -1
70         0            0            -1
71         171            1            -1
72         172            1            -1
73         273            1            -1
74         474            1            -1
75         0            0            -1
76         576            1            -1
77         0            0            -1
78         0            0            -1
79         579            1            -1
80         0            0            -1
81         0            0            -1
82         0            0            -1
83         0            0            -1
84         0            0            -1
85         0            0            -1
86         0            0            -1
87         0            0            -1
88         0            0            -1
89         0            0            -1
90         890            1            -1
91         891            1            -1
92         792            1            -1
93         793            1            -1
94         0            0            -1
95         795            1            -1
96         0            0            -1
97         0            0            -1
98         0            0            -1
99         499            1            -1
-------------------------------------------------------------------------------------------------------------------------------------------------Chained Overflow OVERFLOW Array:
Index    Key Value     Count
0         222            1            15
1         323            1            -1
2         324            1            -1
3         625            1            -1
4         726            1            -1
5         827            1            -1
6         828            1            -1
7         929            1            -1
8         131            1            -1
9         232            1            -1
10         233            1            -1
11         334            1            -1
12         935            1            -1
13         336            1            -1
14         237            1            -1
15         322            1            -1
16         0            0            -1
17         0            0            -1
18         0            0            -1
19         0            0            -1
20         0            0            -1
21         0            0            -1
22         0            0            -1
23         0            0            -1
24         0            0            -1
25         0            0            -1
26         0            0            -1
27         0            0            -1
28         0            0            -1
29         0            0            -1
30         0            0            -1
31         0            0            -1
32         0            0            -1
33         0            0            -1
34         0            0            -1
35         0            0            -1
36         0            0            -1
37         0            0            -1
38         0            0            -1
39         0            0            -1
40         0            0            -1
41         0            0            -1
42         0            0            -1
43         0            0            -1
44         0            0            -1
45         0            0            -1
46         0            0            -1
47         0            0            -1
48         0            0            -1
49         0            0            -1
50         0            0            -1
51         0            0            -1
52         0            0            -1
53         0            0            -1
54         0            0            -1
55         0            0            -1
56         0            0            -1
57         0            0            -1
58         0            0            -1
59         0            0            -1
60         0            0            -1
61         0            0            -1
62         0            0            -1
63         0            0            -1
64         0            0            -1
65         0            0            -1
66         0            0            -1
67         0            0            -1
68         0            0            -1
69         0            0            -1
70         0            0            -1
71         0            0            -1
72         0            0            -1
73         0            0            -1
74         0            0            -1
75         0            0            -1
76         0            0            -1
77         0            0            -1
78         0            0            -1
79         0            0            -1
80         0            0            -1
81         0            0            -1
82         0            0            -1
83         0            0            -1
84         0            0            -1
85         0            0            -1
86         0            0            -1
87         0            0            -1
88         0            0            -1
89         0            0            -1
90         0            0            -1
91         0            0            -1
92         0            0            -1
93         0            0            -1
94         0            0            -1
95         0            0            -1
96         0            0            -1
97         0            0            -1
98         0            0            -1
99         0            0            -1
