Arrays for Test: 50CollisionOut
Linear Open Addressing Array:
Index    Key Value     Count
0         0            0
1         0            0
2         0            0
3         0            0
4         0            0
5         0            0
6         0            0
7         0            0
8         0            0
9         0            0
10         0            0
11         111            1
12         212            1
13         313            1
14         514            1
15         115            1
16         0            0
17         117            1
18         118            1
19         0            0
20         0            0
21         221            1
22         22            1
23         23            1
24         24            1
25         25            1
26         26            1
27         27            1
28         28            1
29         29            1
30         222            1
31         31            1
32         32            1
33         33            1
34         34            1
35         35            1
36         36            1
37         37            1
38         323            1
39         324            1
40         625            1
41         726            1
42         827            1
43         828            1
44         929            1
45         131            1
46         232            1
47         233            1
48         334            1
49         935            1
50         336            1
51         237            1
52         322            1
53         344            1
54         345            1
55         346            1
56         347            1
57         448            1
58         0            0
59         0            0
60         0            0
61         0            0
62         162            1
63         663            1
64         664            1
65         665            1
66         0            0
67         0            0
68         0            0
69         0            0
70         0            0
71         171            1
72         172            1
73         273            1
74         474            1
75         0            0
76         576            1
77         0            0
78         0            0
79         579            1
80         0            0
81         0            0
82         0            0
83         0            0
84         0            0
85         0            0
86         0            0
87         0            0
88         0            0
89         0            0
90         890            1
91         891            1
92         792            1
93         793            1
94         0            0
95         795            1
96         0            0
97         0            0
98         0            0
99         499            1
