Arrays for Test: hash1000
Chained Overflow Main Array:
Index    Key Value     Count
0         0            0            -1
1         0            0            -1
2         0            0            -1
3         4003            1            -1
4         0            0            -1
5         0            0            -1
6         2006            1            60
7         5007            2            247
8         3008            1            22
9         7009            2            229
10         0            0            -1
11         11            1            -1
12         8012            1            -1
13         0            0            -1
14         4014            1            240
15         0            0            -1
16         0            0            -1
17         2017            1            -1
18         6018            1            -1
19         3019            1            108
20         3020            1            -1
21         8021            1            -1
22         2022            1            -1
23         0            0            -1
24         7024            1            -1
25         0            0            -1
26         0            0            -1
27         5027            1            -1
28         7028            1            139
29         0            0            -1
30         9030            1            -1
31         1031            1            -1
32         7032            1            33
33         3033            1            -1
34         0            0            -1
35         0            0            -1
36         0            0            -1
37         5037            1            181
38         8038            1            100
39         0            0            -1
40         0            0            -1
41         1041            1            -1
42         0            0            -1
43         4043            1            3
44         1044            1            38
45         3045            1            -1
46         0            0            -1
47         6047            1            272
48         0            0            -1
49         4049            1            -1
50         0            0            -1
51         3051            1            -1
52         5052            1            -1
53         6053            1            -1
54         0            0            -1
55         7055            1            -1
56         5056            1            101
57         6057            1            253
58         8058            1            -1
59         1059            1            -1
60         0            0            -1
61         7061            1            -1
62         4062            1            -1
63         0            0            -1
64         0            0            -1
65         2065            1            -1
66         6066            1            -1
67         0            0            -1
68         7068            1            -1
69         2069            1            -1
70         2070            1            -1
71         1071            1            -1
72         0            0            -1
73         73            1            224
74         9074            1            157
75         2075            1            -1
76         7076            1            -1
77         7077            1            239
78         0            0            -1
79         8079            1            122
80         2080            1            -1
81         2081            1            -1
82         7082            2            130
83         2083            1            -1
84         7084            2            110
85         0            0            -1
86         4086            1            -1
87         6087            1            -1
88         3088            1            185
89         4089            1            140
90         4090            1            65
91         0            0            -1
92         1092            1            -1
93         93            1            -1
94         0            0            -1
95         0            0            -1
96         0            0            -1
97         2097            1            257
98         3098            1            187
99         8099            1            72
100         0            0            -1
101         0            0            -1
102         0            0            -1
103         0            0            -1
104         8104            1            236
105         7105            1            -1
106         2106            1            55
107         0            0            -1
108         7108            1            -1
109         2109            1            -1
110         1110            1            -1
111         7111            1            32
112         112            1            -1
113         0            0            -1
114         7114            1            -1
115         9115            1            53
116         0            0            -1
117         117            1            9
118         8118            1            -1
119         8119            1            -1
120         0            0            -1
121         0            0            -1
122         0            0            -1
123         7123            1            -1
124         0            0            -1
125         125            1            102
