Arrays for Test: rand
Linear Open Addressing Array:
Index    Key Value     Count
0         896            1
1         2894            1
2         1802            1
3         3199            1
4         4092            1
5         8805            1
6         3306            1
7         8507            1
8         6708            1
9         3706            1
10         5910            1
11         3709            1
12         7712            1
13         9212            1
14         4814            1
15         9412            1
16         3198            1
17         9915            1
18         8718            2
19         2118            1
20         6420            1
21         4820            1
22         6501            1
23         4104            1
24         5797            1
25         125            1
26         2602            1
27         727            1
28         1126            1
29         9329            1
30         3513            1
31         2102            1
32         6110            1
33         2833            1
34         4434            1
35         4135            1
36         2233            1
37         337            1
38         3035            1
39         9004            1
40         2622            1
41         8341            1
42         1342            1
43         9241            1
44         8042            1
45         4098            1
46         140            1
47         2200            1
48         3646            1
49         1714            1
50         6150            1
51         5051            1
52         1152            1
53         3652            1
54         8052            1
55         9955            1
56         4656            1
57         9156            1
58         3292            1
59         4359            1
60         4655            1
61         1561            1
62         562            1
63         2963            1
64         2964            1
65         364            1
66         3865            1
67         2467            1
68         4568            1
69         9869            1
70         1169            1
71         5764            1
72         7570            1
73         3173            1
74         2168            1
75         4875            1
76         3176            1
77         777            1
78         7878            1
79         3065            1
80         8280            1
81         5181            1
82         267            1
83         473            1
84         9779            1
85         7785            1
86         3964            1
87         5887            1
88         6387            1
89         9180            1
90         2230            1
91         0            0
92         5192            1
93         1492            1
94         5294            1
95         4895            1
96         995            1
97         1797            1
98         7296            1
99         9996            1
