Arrays for Test: randomDup
Chained Overflow Main Array:
Index    Key Value     Count
0         0            0            -1
1         0            0            -1
2         5902            1            15
3         2403            1            26
4         1204            1            -1
5         705            1            -1
6         9106            1            -1
7         807            1            2
8         9208            1            -1
9         0            0            -1
10         2810            1            -1
11         4311            1            31
12         12            1            21
13         9813            1            -1
14         7314            1            -1
15         9215            1            3
16         8716            1            32
17         5717            1            -1
18         3718            1            1
19         0            0            -1
20         0            0            -1
21         5221            1            -1
22         22            1            5
23         0            0            -1
24         0            0            -1
25         9925            1            -1
26         8726            1            6
27         8827            1            -1
28         2228            1            -1
29         0            0            -1
30         6430            1            -1
31         6431            1            -1
32         9832            1            -1
33         3233            1            -1
34         8834            1            4
35         1735            1            -1
36         1736            1            -1
37         6037            1            14
38         2338            1            -1
39         0            0            -1
40         4340            1            8
41         0            0            -1
42         4442            1            10
43         9143            1            -1
44         0            0            -1
45         6345            1            -1
46         7746            1            -1
47         6747            1            -1
48         6248            1            -1
49         0            0            -1
50         2250            1            16
51         1951            1            7
52         3252            1            -1
53         0            0            -1
54         1954            1            0
55         9055            1            9
56         8056            1            -1
57         0            0            -1
58         8358            1            -1
59         2959            1            25
60         0            0            -1
61         0            0            -1
62         0            0            -1
63         0            0            -1
64         0            0            -1
65         7965            1            30
66         0            0            -1
67         0            0            -1
68         468            2            -1
69         1469            1            -1
70         8170            1            27
71         3371            1            -1
72         7772            1            -1
73         0            0            -1
74         4874            1            -1
75         875            1            23
76         1076            1            29
77         5577            1            -1
78         8678            1            -1
79         0            0            -1
80         6880            1            -1
81         0            0            -1
82         8782            1            12
83         2483            1            -1
84         0            0            -1
85         0            0            -1
86         0            0            -1
87         0            0            -1
88         5488            1            11
89         0            0            -1
90         0            0            -1
91         0            0            -1
92         0            0            -1
93         1393            1            -1
94         0            0            -1
95         0            0            -1
96         0            0            -1
97         0            0            -1
98         4598            1            -1
99         7299            1            -1
-------------------------------------------------------------------------------------------------------------------------------------------------Chained Overflow OVERFLOW Array:
Index    Key Value     Count
0         3454            1            20
1         518            1            17
2         207            1            19
3         4515            1            -1
4         3634            1            -1
5         6322            1            18
6         2026            1            13
7         1351            1            22
8         2740            1            -1
9         5155            1            33
10         6042            1            -1
11         1988            1            -1
12         3482            1            -1
13         4326            1            -1
14         4937            1            -1
15         6902            1            34
16         2050            1            -1
17         3518            1            -1
18         1122            1            -1
19         4207            1            -1
20         2454            1            -1
21         9612            1            24
22         1851            1            -1
23         2775            1            28
24         512            1            -1
25         259            1            -1
26         3203            1            -1
27         9270            1            -1
28         475            1            -1
29         576            1            -1
30         7565            1            -1
31         611            1            -1
32         516            1            -1
33         5655            1            -1
34         4002            1            -1
35         0            0            -1
36         0            0            -1
37         0            0            -1
38         0            0            -1
39         0            0            -1
40         0            0            -1
41         0            0            -1
42         0            0            -1
43         0            0            -1
44         0            0            -1
45         0            0            -1
46         0            0            -1
47         0            0            -1
48         0            0            -1
49         0            0            -1
50         0            0            -1
51         0            0            -1
52         0            0            -1
53         0            0            -1
54         0            0            -1
55         0            0            -1
56         0            0            -1
57         0            0            -1
58         0            0            -1
59         0            0            -1
60         0            0            -1
61         0            0            -1
62         0            0            -1
63         0            0            -1
64         0            0            -1
65         0            0            -1
66         0            0            -1
67         0            0            -1
68         0            0            -1
69         0            0            -1
70         0            0            -1
71         0            0            -1
72         0            0            -1
73         0            0            -1
74         0            0            -1
75         0            0            -1
76         0            0            -1
77         0            0            -1
78         0            0            -1
79         0            0            -1
80         0            0            -1
81         0            0            -1
82         0            0            -1
83         0            0            -1
84         0            0            -1
85         0            0            -1
86         0            0            -1
87         0            0            -1
88         0            0            -1
89         0            0            -1
90         0            0            -1
91         0            0            -1
92         0            0            -1
93         0            0            -1
94         0            0            -1
95         0            0            -1
96         0            0            -1
97         0            0            -1
98         0            0            -1
99         0            0            -1
