Arrays for Test: randomTest
Linear Open Addressing Array:
Index    Key Value     Count
0         2500            1
1         1291            1
2         2402            1
3         5502            1
4         7804            1
5         5703            1
6         6202            1
7         1005            1
8         5508            1
9         4409            1
10         6905            1
11         7811            1
12         1612            1
13         812            1
14         11            1
15         2104            1
16         9588            1
17         5893            1
18         6696            1
19         1619            1
20         8020            1
21         8820            1
22         4422            1
23         1450            1
24         4924            1
25         0            0
26         2226            1
27         226            1
28         6027            1
29         6429            1
30         9730            1
31         430            1
32         5230            1
33         3231            1
34         7934            1
35         7634            1
36         4135            1
37         8437            1
38         1834            1
39         7939            1
40         9139            1
41         7041            1
42         6742            1
43         4341            1
44         4740            1
45         927            1
46         1146            1
47         1147            1
48         848            1
49         3249            1
50         1950            1
51         5350            1
52         1752            1
53         9652            1
54         5650            1
55         3755            1
56         2456            1
57         9957            1
58         7557            1
59         2459            1
60         2559            2
61         1559            1
62         4862            1
63         9860            1
64         2859            1
65         3461            1
66         9266            1
67         152            1
68         3562            1
69         461            1
70         170            1
71         1071            1
72         5470            1
73         8770            1
74         5551            1
75         2475            1
76         649            1
77         5177            1
78         8678            1
79         1778            1
80         2680            1
81         9581            1
82         5982            1
83         2283            1
84         4681            1
85         3785            1
86         686            1
87         4187            1
88         3288            1
89         8489            1
90         989            1
91         8689            1
92         8292            1
93         693            1
94         1993            1
95         5894            1
96         5596            1
97         1192            1
98         6098            1
99         4798            1
